timestamp,source_ip,source_port,destination_ip,destination_port,dscp,tos
977979601.043,118.105.224.63,33799,176.97.154.167,6346,0,0
977979601.043,219.184.202.181,1041,180.195.87.195,6699,0,0
977979601.044,207.62.157.58,53,9.187.194.119,53,0,0
977979601.044,209.135.177.34,80,149.67.64.237,1675,0,0
977979601.044,209.135.177.34,80,149.67.64.237,1675,0,0
977979601.044,209.135.177.34,80,149.67.64.237,1675,0,0
977979601.044,219.184.202.181,1041,180.195.87.195,6699,0,0
977979601.044,202.96.55.140,80,144.222.107.36,4984,0,0
977979601.045,202.22.136.133,20,170.117.77.112,44136,2,8
977979601.045,219.50.126.162,25,144.222.109.84,3893,0,0
977979601.045,209.135.177.34,80,149.67.64.237,1675,0,0
977979601.045,202.22.136.133,21,170.117.77.112,39485,4,16
977979601.045,209.135.177.34,80,149.67.64.237,1675,0,0
977979601.045,219.128.38.173,6346,176.97.154.167,3880,0,0
977979601.046,188.101.237.45,53,207.145.196.61,53,0,0
977979601.047,46.12.47.83,80,180.195.20.92,1723,0,0
977979601.047,46.12.47.83,80,180.195.20.92,1723,0,0
977979601.047,46.12.47.83,80,180.195.20.92,1723,0,0
977979601.047,207.145.216.244,39326,208.102.44.142,554,0,0
977979601.047,46.12.47.83,80,180.195.20.92,1723,0,0
977979601.047,46.12.47.83,80,180.195.20.92,1723,0,0
977979601.047,107.199.147.110,10726,170.117.97.178,6970,0,0
977979601.048,207.82.150.230,80,207.145.216.244,39320,0,0
977979601.048,193.49.144.156,35317,144.222.79.145,80,0,0
977979601.048,202.96.55.140,80,144.222.107.36,4984,0,0
977979601.049,176.97.154.167,3880,219.128.38.173,6346,0,0
977979601.049,208.64.243.151,80,180.195.87.50,1491,0,0
977979601.049,208.64.243.151,80,180.195.87.50,1491,0,0
977979601.049,208.64.243.151,80,180.195.87.50,1491,0,0
977979601.049,196.20.225.36,80,180.195.6.191,1072,0,0
977979601.049,208.64.243.151,80,180.195.87.50,1491,0,0
977979601.049,107.3.172.130,21050,176.97.154.167,6346,0,0
977979601.049,208.64.243.151,80,180.195.87.50,1491,0,0
